id,name,code,city_id
res.country_district_1101010,TEUPAH SELATAN,1101010,KABUPATEN SIMEULUE
res.country_district_1101020,SIMEULUE TIMUR,1101020,KABUPATEN SIMEULUE
res.country_district_1101021,TEUPAH BARAT,1101021,KABUPATEN SIMEULUE
res.country_district_1101022,TEUPAH TENGAH,1101022,KABUPATEN SIMEULUE
res.country_district_1101030,SIMEULUE TENGAH,1101030,KABUPATEN SIMEULUE
res.country_district_1101031,TELUK DALAM,1101031,KABUPATEN SIMEULUE
res.country_district_1101032,SIMEULUE CUT,1101032,KABUPATEN SIMEULUE
res.country_district_1101040,SALANG,1101040,KABUPATEN SIMEULUE
res.country_district_1101050,SIMEULUE BARAT,1101050,KABUPATEN SIMEULUE
res.country_district_1101051,ALAFAN,1101051,KABUPATEN SIMEULUE
res.country_district_1102010,PULAU BANYAK,1102010,KABUPATEN ACEH SINGKIL
res.country_district_1102011,PULAU BANYAK BARAT,1102011,KABUPATEN ACEH SINGKIL
res.country_district_1102020,SINGKIL,1102020,KABUPATEN ACEH SINGKIL
res.country_district_1102021,SINGKIL UTARA,1102021,KABUPATEN ACEH SINGKIL
res.country_district_1102022,KUALA BARU,1102022,KABUPATEN ACEH SINGKIL
res.country_district_1102030,SIMPANG KANAN,1102030,KABUPATEN ACEH SINGKIL
res.country_district_1102031,GUNUNG MERIAH,1102031,KABUPATEN ACEH SINGKIL
res.country_district_1102032,DANAU PARIS,1102032,KABUPATEN ACEH SINGKIL
res.country_district_1102033,SURO,1102033,KABUPATEN ACEH SINGKIL
res.country_district_1102042,SINGKOHOR,1102042,KABUPATEN ACEH SINGKIL
res.country_district_1102043,KOTA BAHARU,1102043,KABUPATEN ACEH SINGKIL
res.country_district_1103010,TRUMON,1103010,KABUPATEN ACEH SELATAN
res.country_district_1103011,TRUMON TIMUR,1103011,KABUPATEN ACEH SELATAN
res.country_district_1103012,TRUMON TENGAH,1103012,KABUPATEN ACEH SELATAN
res.country_district_1103020,BAKONGAN,1103020,KABUPATEN ACEH SELATAN
res.country_district_1103021,BAKONGAN TIMUR,1103021,KABUPATEN ACEH SELATAN
res.country_district_1103022,KOTA BAHAGIA,1103022,KABUPATEN ACEH SELATAN
res.country_district_1103030,KLUET SELATAN,1103030,KABUPATEN ACEH SELATAN
res.country_district_1103031,KLUET TIMUR,1103031,KABUPATEN ACEH SELATAN
res.country_district_1103040,KLUET UTARA,1103040,KABUPATEN ACEH SELATAN
res.country_district_1103041,PASIE RAJA,1103041,KABUPATEN ACEH SELATAN
res.country_district_1103042,KLUET TENGAH,1103042,KABUPATEN ACEH SELATAN
res.country_district_1103050,TAPAK TUAN,1103050,KABUPATEN ACEH SELATAN
res.country_district_1103060,SAMA DUA,1103060,KABUPATEN ACEH SELATAN
res.country_district_1103070,SAWANG,1103070,KABUPATEN ACEH SELATAN
res.country_district_1103080,MEUKEK,1103080,KABUPATEN ACEH SELATAN
res.country_district_1103090,LABUHAN HAJI,1103090,KABUPATEN ACEH SELATAN
res.country_district_1103091,LABUHAN HAJI TIMUR,1103091,KABUPATEN ACEH SELATAN
res.country_district_1103092,LABUHAN HAJI BARAT,1103092,KABUPATEN ACEH SELATAN
res.country_district_1104010,LAWE ALAS,1104010,KABUPATEN ACEH TENGGARA
res.country_district_1104011,BABUL RAHMAH,1104011,KABUPATEN ACEH TENGGARA
res.country_district_1104012,TANOH ALAS,1104012,KABUPATEN ACEH TENGGARA
res.country_district_1104020,LAWE SIGALA-GALA,1104020,KABUPATEN ACEH TENGGARA
res.country_district_1104021,BABUL MAKMUR,1104021,KABUPATEN ACEH TENGGARA
